Time	CID	Xcord	Ycord	BotID	Energy
1332.19	1	0.00	250.00	1	5698.43750
1332.25	1	0.00	250.00	1	5729.37500
1332.31	1	0.00	250.00	1	5760.31250
1332.38	1	0.00	250.00	1	5791.25000
1332.44	1	0.00	250.00	1	5822.18750
1332.50	1	0.00	250.00	1	5853.12500
1332.56	1	0.00	250.00	1	5884.06250
1332.63	1	0.00	250.00	1	5915.00000
1332.69	1	0.00	250.00	1	5945.93750
1332.75	1	0.00	250.00	1	5976.87500
1332.81	1	0.00	250.00	1	6007.81250
1332.88	1	0.00	250.00	1	6038.75000
1332.94	1	0.00	250.00	1	6069.68750
1333.00	1	0.00	250.00	1	6100.62500
1333.06	1	0.00	250.00	1	6131.56250
1333.13	1	0.00	250.00	1	6162.50000
1333.19	1	0.00	250.00	1	6193.43750
1333.25	3	250.00	0.00	0	2421.87500
1333.25	1	0.00	250.00	1	6224.37500
1333.31	3	250.00	0.00	0	2450.00000
1333.31	1	0.00	250.00	1	6255.31250
1333.38	3	250.00	0.00	0	2478.12500
1333.38	1	0.00	250.00	1	6286.25000
1333.44	3	250.00	0.00	0	2506.25000
1333.44	1	0.00	250.00	1	6317.18750
1333.50	3	250.00	0.00	0	2534.37500
1333.50	1	0.00	250.00	1	6348.12500
1333.56	3	250.00	0.00	0	2562.50000
1333.56	1	0.00	250.00	1	6379.06250
1333.63	3	250.00	0.00	0	2590.62500
1333.63	1	0.00	250.00	1	6410.00000
1333.69	3	250.00	0.00	0	2618.75000
1333.69	1	0.00	250.00	1	6440.93750
1333.75	3	250.00	0.00	0	2646.87500
1333.75	1	0.00	250.00	1	6471.87500
1333.81	3	250.00	0.00	0	2675.00000
1333.81	1	0.00	250.00	1	6502.81250
1333.88	3	250.00	0.00	0	2703.12500
1333.88	1	0.00	250.00	1	6533.75000
1333.94	3	250.00	0.00	0	2731.25000
1333.94	1	0.00	250.00	1	6564.68750
1334.00	3	250.00	0.00	0	2759.37500
1334.00	1	0.00	250.00	1	6595.62500
1334.06	3	250.00	0.00	0	2787.50000
1334.06	1	0.00	250.00	1	6626.56250
1334.13	3	250.00	0.00	0	2815.62500
1334.13	1	0.00	250.00	1	6657.50000
1334.19	3	250.00	0.00	0	2843.75000
1334.19	1	0.00	250.00	1	6688.43750
1334.25	3	250.00	0.00	0	2871.87500
1334.25	1	0.00	250.00	1	6719.37500
1334.31	3	250.00	0.00	0	2900.00000
1334.31	1	0.00	250.00	1	6750.31250
1334.38	3	250.00	0.00	0	2928.12500
1334.38	1	0.00	250.00	1	6781.25000
1334.44	3	250.00	0.00	0	2956.25000
1334.44	1	0.00	250.00	1	6812.18750
1334.50	3	250.00	0.00	0	2984.37500
1334.50	1	0.00	250.00	1	6843.12500
1334.56	3	250.00	0.00	0	3012.50000
1334.56	1	0.00	250.00	1	6874.06250
1334.63	3	250.00	0.00	0	3040.62500
1334.63	1	0.00	250.00	1	6905.00000
1334.69	3	250.00	0.00	0	3068.75000
1334.69	1	0.00	250.00	1	6935.93750
1334.75	3	250.00	0.00	0	3096.87500
1334.75	1	0.00	250.00	1	6966.87500
1334.81	3	250.00	0.00	0	3125.00000
1334.81	1	0.00	250.00	1	6997.81250
1334.88	3	250.00	0.00	0	3153.12500
1334.88	1	0.00	250.00	1	7028.75000
1334.94	3	250.00	0.00	0	3181.25000
1334.94	1	0.00	250.00	1	7059.68750
1335.00	3	250.00	0.00	0	3209.37500
1335.00	1	0.00	250.00	1	7090.62500
1335.06	3	250.00	0.00	0	3237.50000
1335.06	1	0.00	250.00	1	7121.56250
1335.13	3	250.00	0.00	0	3265.62500
1335.13	1	0.00	250.00	1	7152.50000
1335.19	3	250.00	0.00	0	3293.75000
1335.19	1	0.00	250.00	1	7183.43750
1335.25	3	250.00	0.00	0	3321.87500
1335.25	1	0.00	250.00	1	7214.37500
1335.31	3	250.00	0.00	0	3350.00000
1335.31	1	0.00	250.00	1	7245.31250
1335.38	3	250.00	0.00	0	3378.12500
1335.38	1	0.00	250.00	1	7276.25000
1335.44	3	250.00	0.00	0	3406.25000
1335.44	1	0.00	250.00	1	7307.18750
1335.50	3	250.00	0.00	0	3434.37500
1335.50	1	0.00	250.00	1	7338.12500
1335.56	3	250.00	0.00	0	3462.50000
1335.56	1	0.00	250.00	1	7369.06250
1335.63	3	250.00	0.00	0	3490.62500
1335.63	1	0.00	250.00	1	7400.00000
1335.69	3	250.00	0.00	0	3518.75000
1335.69	1	0.00	250.00	1	7430.93750
1335.75	3	250.00	0.00	0	3546.87500
1335.75	1	0.00	250.00	1	7461.87500
1335.81	3	250.00	0.00	0	3575.00000
1335.81	1	0.00	250.00	1	7492.81250
1335.88	3	250.00	0.00	0	3603.12500
1335.88	1	0.00	250.00	1	7523.75000
1335.94	3	250.00	0.00	0	3631.25000
1335.94	1	0.00	250.00	1	7554.68750
1336.00	3	250.00	0.00	0	3659.37500
1336.00	1	0.00	250.00	1	7585.62500
1336.06	3	250.00	0.00	0	3687.50000
1336.06	1	0.00	250.00	1	7616.56250
1336.13	3	250.00	0.00	0	3715.62500
1336.13	1	0.00	250.00	1	7647.50000
1336.19	3	250.00	0.00	0	3743.75000
1336.19	1	0.00	250.00	1	7678.43750
1336.25	3	250.00	0.00	0	3771.87500
1336.25	1	0.00	250.00	1	7709.37500
1336.31	3	250.00	0.00	0	3800.00000
1336.31	1	0.00	250.00	1	7740.31250
1336.38	3	250.00	0.00	0	3828.12500
1336.38	1	0.00	250.00	1	7771.25000
1336.44	3	250.00	0.00	0	3856.25000
1336.44	1	0.00	250.00	1	7802.18750
1336.50	3	250.00	0.00	0	3884.37500
1336.50	1	0.00	250.00	1	7833.12500
1336.56	3	250.00	0.00	0	3912.50000
1336.56	1	0.00	250.00	1	7864.06250
1336.63	3	250.00	0.00	0	3940.62500
1336.63	1	0.00	250.00	1	7895.00000
1336.69	3	250.00	0.00	0	3968.75000
1336.69	1	0.00	250.00	1	7925.93750
1336.75	3	250.00	0.00	0	3996.87500
1336.75	1	0.00	250.00	1	7956.87500
1336.81	3	250.00	0.00	0	4025.00000
1336.81	1	0.00	250.00	1	7987.81250
1336.88	3	250.00	0.00	0	4053.12500
1336.88	1	0.00	250.00	1	8018.75000
1336.94	3	250.00	0.00	0	4081.25000
1336.94	1	0.00	250.00	1	8049.68750
1337.00	3	250.00	0.00	0	4109.37500
1337.00	1	0.00	250.00	1	8080.62500
1337.06	3	250.00	0.00	0	4137.50000
1337.06	1	0.00	250.00	1	8111.56250
1337.13	3	250.00	0.00	0	4165.62500
1337.13	1	0.00	250.00	1	8142.50000
1337.19	3	250.00	0.00	0	4193.75000
1337.19	1	0.00	250.00	1	8173.43750
1337.25	3	250.00	0.00	0	4221.87500
1337.25	1	0.00	250.00	1	8204.37500
1337.31	3	250.00	0.00	0	4250.00000
1337.31	1	0.00	250.00	1	8235.31250
1337.38	3	250.00	0.00	0	4278.12500
1337.38	1	0.00	250.00	1	8266.25000
1337.44	3	250.00	0.00	0	4306.25000
1337.44	1	0.00	250.00	1	8297.18750
1337.50	3	250.00	0.00	0	4334.37500
1337.50	1	0.00	250.00	1	8328.12500
1337.56	3	250.00	0.00	0	4362.50000
1337.56	1	0.00	250.00	1	8359.06250
1337.63	3	250.00	0.00	0	4390.62500
